,HML,SMB,RMW,CMA,Mrt-Rf,RF
Sep-12,0.029468705,-0.010143009,0.011820468,-0.016756007,0.044585829,0.001652695
Oct-12,0.033131424,0.008747665,0.004193123,0.012543561,-0.042928534,0.001704931
Nov-12,-0.017951828,-0.026979376,0.023061967,-0.02347685,0.006519891,0.001624863
Dec-12,0.047305468,-0.046535628,0.04245371,0.00188967,0.038226584,0.0014919
Jan-13,0.046461849,0.035904201,-0.041633132,0.041960509,-0.016402718,0.00172684
Feb-13,-0.01636747,0.000891362,0.010206574,-0.028118069,0.034196653,0.001658844
Mar-13,0.007958919,0.038567362,0.031560469,-0.01523412,-0.00689778,0.001589651
Apr-13,0.025242049,0.034513593,0.028481859,-0.010743194,-0.01827846,0.0014017
May-13,-0.033338552,0.028666163,0.014869059,0.011911214,0.017863909,0.001630307
Jun-13,0.015746313,-0.024583004,0.029033572,0.005129245,-0.07271845,0.001161213
Jul-13,0.021564455,0.00864413,-0.009539658,0.015888431,0.029272801,0.001776745
Aug-13,0.024619371,-0.022427237,0.010618386,-0.004721631,-0.002641814,0.001416667
Sep-13,0.010356699,-0.014413069,0.017142156,-0.001300402,0.035081895,0.001261249
Oct-13,-0.015552222,-0.015565434,0.042893744,-0.014339812,0.01302624,0.001522154
Nov-13,0.015642805,-0.026793887,0.010640351,-0.013679916,0.002519608,0.001360514
Dec-13,0.052040059,-0.025623019,0.002560309,0.024340807,-0.010175881,0.001531459
Jan-14,0.005008075,0.029886426,-0.024927801,0.003871037,-0.030289737,0.001460442
Feb-14,0.032559192,0.01214931,0.044041545,-0.021069986,0.019547432,0.00131679
Mar-14,0.005861468,0.028052751,0.007763295,0.006346562,0.003509696,0.001470072
Apr-14,0.014376956,0.016106731,0.041544297,-0.049207983,-0.009032369,0.001542148
May-14,0.015512992,-0.008706306,0.020085093,-0.008845487,0.01129961,0.001344207
Jun-14,0.020751433,0.011062731,0.001484316,0.017229702,0.000561334,0.001368925
Jul-14,0.066502415,-0.013889785,0.008907537,-0.008608448,0.031256799,0.00187116
Aug-14,0.001861793,0.026805788,-0.003926271,0.010387829,0.001139995,0.00159661
Sep-14,0.008109841,0.001590381,0.044921812,0.016025676,-0.021989012,0.001551519
Oct-14,-0.016169827,0.002234628,0.042920474,-0.013225313,-0.028800142,0.001543591
Nov-14,-0.014860099,-0.009909698,0.014532723,-0.005290295,0.003542475,0.001166089
Dec-14,-0.017696771,0.011165209,0.006882551,-0.029290054,-0.01893567,0.001042663
Jan-15,-0.035845888,0.033536494,-7.13E-05,0.010795615,0.0241561,0.001425833
Feb-15,0.04685932,0.033556134,-0.056854041,0.015708127,0.022168663,0.000857603
Mar-15,0.018508464,0.035945708,0.024219631,0.007489145,0.027749015,0.001766071
Apr-15,0.023628929,0.012620037,0.00491854,0.010311557,0.043459992,0.000908859
May-15,-0.016985179,0.043038864,0.000990884,0.002927422,-0.001967712,0.00106606
Jun-15,0.002619219,0.004485193,0.014783842,0.034256171,-0.011468546,0.001189752
Jul-15,0.014302196,0.011204357,0.024407695,0.002712118,-0.022615984,0.001057736
Aug-15,-0.003545562,-0.018067262,0.021248781,0.006828993,-0.04562008,0.000812095
Sep-15,0.017300227,0.023160168,-0.01360758,0.008831397,0.006794744,0.000907689
Oct-15,-0.009121557,0.018209317,-0.026349915,-0.029825138,0.029467066,0.000827625
Nov-15,-0.010849582,-0.006258454,-0.017648965,0.010015405,-0.015708551,0.000792103
Dec-15,0.039383996,-0.005665672,-0.029435016,-0.032600491,-0.001184196,0.001050264
Jan-16,-0.025269893,-0.014017478,0.035392963,0.031541198,-0.0224126,0.000938278
Feb-16,0.064240334,-0.010687637,-0.015856458,0.009683822,-0.00537984,0.000786711
Mar-16,-0.006128161,0.041895887,0.028392538,0.01981333,0.042509639,0.000833431
Apr-16,0.012322825,-0.000760716,-0.077341446,-0.006900592,0.000803368,0.000794748
May-16,-0.021541112,0.003040725,-0.037168096,-0.020639646,-0.005614874,0.000905758
Jun-16,-0.006043772,0.004450673,0.014090116,-0.042024809,-0.01107567,0.001307725
Jul-16,0.037415846,0.027003824,-0.020728259,0.02239074,0.025949269,0.000744654
Aug-16,0.041755259,-0.026025919,0.02613194,0.002839862,-0.001828305,0.000580612
Sep-16,0.005175432,0.021579548,-0.014565812,-0.004743653,0.006925193,0.000712885
Oct-16,0.074256797,-0.027874736,0.039051319,0.009311622,-0.027385648,0.00053796
Nov-16,0.063524904,0.009188562,0.045992459,0.01042643,-0.017334034,0.000597306
Dec-16,0.010819184,0.015742217,-0.017990353,0.014798589,0.041362179,0.001107913
Jan-17,0.016006246,-0.002074077,0.016552234,0.010368041,0.013354492,0.000817843
Feb-17,0.016171637,-0.038842387,0.002563999,0.014965993,0.008294724,0.00072922
Mar-17,-0.000732252,-0.00140892,0.006246867,-0.005208016,0.029861519,0.000856893
Apr-17,-0.013815586,-0.007336406,0.004065055,-0.008078413,0.019360057,0.000748396
May-17,0.003491977,-0.027279927,0.005252349,0.001234433,0.060133435,0.000749596
Jun-17,0.021707327,0.00054843,0.007605159,-0.006608766,0.020484657,0.000683506
Jul-17,0.02819857,-0.025026544,0.032572606,0.005896493,-0.00032281,0.000808891
Aug-17,-0.034331255,0.013206012,-0.036184054,0.002125808,-0.013665837,0.000775847
